Date,Message,ID,Reply_to,Merged_Message,Crowd Level,Direction,Crowd Level new,Direction new,Comparison
29/3/2025 11:21,Bus queue at woodlands customs is building up but can get on bus within 2 buses kind not much queue at immigration,138909,-1,Bus queue at woodlands customs is building up but can get on bus within 2 buses kind not much queue at immigration,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
29/3/2025 10:50,950 not much ppl lor always when ppl think will jam then wont jam,138895,-1,950 not much ppl lor always when ppl think will jam then wont jam,High,Not related,Low,Not related,Different
29/3/2025 10:45,Thanks Just to confirm the bus queue at woodlands checkpoint is clear,138892,138885,No queue from sg to jb cleared immediately Thanks Just to confirm the bus queue at woodlands checkpoint is clear,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
29/3/2025 10:40,No queue from sg to jb cleared immediately,138885,-1,No queue from sg to jb cleared immediately,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
29/3/2025 10:00,"SG custom smooth 
just cleared",138865,-1,"SG custom smooth 
just cleared",Low,Not related,Low,Singapore to Malaysia,Same
29/3/2025 9:55,malay bus is faster,138861,-1,malay bus is faster,High,Not related,Low,Singapore to Malaysia,Different
29/3/2025 9:51,"Start crowding but moving fast clear both customs in 20mins

Took CW bus",138859,-1,"Start crowding but moving fast clear both customs in 20mins

Took CW bus",High,Singapore to Malaysia,Low,Not related,Different
29/3/2025 9:50,Car no jam,138858,-1,Car no jam,Low,Not related,Low,Not related,Same
29/3/2025 8:52,Any q now,138832,-1,Any q now,High,Singapore to Malaysia,Not related,Not related,Different
29/3/2025 8:29,Bus ride is smooth to woodlands chk pt,138820,-1,Bus ride is smooth to woodlands chk pt,Medium,Singapore to Malaysia,Low,Singapore to Malaysia,Different
29/3/2025 8:15,For blue bus can just go up,138809,-1,For blue bus can just go up,Low,Not related,Low,Not related,Same
29/3/2025 8:15,CW queue  3 buses loading around 710 mins wait,138808,-1,CW queue  3 buses loading around 710 mins wait,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
29/3/2025 8:12,SG customs QR code smoother than butter,138805,-1,SG customs QR code smoother than butter,High,Singapore to Malaysia,Low,Not related,Different
29/3/2025 7:52,911 at woodlands fully packed,138796,-1,911 at woodlands fully packed,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
29/3/2025 7:52,Jb kastam no q,138795,-1,Jb kastam no q,High,Malaysia to Singapore,Low,Not related,Different
29/3/2025 7:43,Board bus im 15 min,138792,-1,Board bus im 15 min,Low,Not related,Low,Not related,Same
29/3/2025 7:28,Ktanji no q when i reach at 710am Now queuimg at woodlands bus for about 10 mintues already,138790,-1,Ktanji no q when i reach at 710am Now queuimg at woodlands bus for about 10 mintues already,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 22:04,"Woodlands custom smooth 
Bus lane also smooth",138761,-1,"Woodlands custom smooth 
Bus lane also smooth",Low,Not related,Low,Singapore to Malaysia,Same
28/3/2025 21:08,Sg custom to cw bus 10mins,138752,-1,Sg custom to cw bus 10mins,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
28/3/2025 20:40,Newton CW5 bus no queue,138740,-1,Newton CW5 bus no queue,Low,Not related,Low,Singapore to Malaysia,Same
28/3/2025 19:55,Bus cannot move more than an hour at bridge near sg custom,138715,-1,Bus cannot move more than an hour at bridge near sg custom,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
28/3/2025 19:28,Anyone know which bus to queue to get out of ciq second link to Jb,138708,-1,Anyone know which bus to queue to get out of ciq second link to Jb,High,Malaysia to Singapore,Low,Malaysia to Singapore,Different
28/3/2025 19:12,spend 45 mins to reach Malaysia from sg kastam to jb kastam 950,138706,-1,spend 45 mins to reach Malaysia from sg kastam to jb kastam 950,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 19:09,jam woodland sg custom only  malaysia smooth,138704,-1,jam woodland sg custom only  malaysia smooth,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 18:49,Jam at the bridge to checkpoint,138696,-1,Jam at the bridge to checkpoint,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 17:37,At Woodland custom going towards jb The bus queue until inside of custom,138661,-1,At Woodland custom going towards jb The bus queue until inside of custom,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 17:29,Sorry friends its very jam Walking causeway,138653,-1,Sorry friends its very jam Walking causeway,High,Singapore to Malaysia,High,Not related,Same
28/3/2025 17:17,Sg jb crazy jam at sg,138634,-1,Sg jb crazy jam at sg,High,Singapore to Malaysia,High,Not related,Same
28/3/2025 17:04,bus coming fast,138630,138629,CW 1 at Kranji no queue bus coming fast,Medium,Not related,Low,Singapore to Malaysia,Different
28/3/2025 16:58,CW 1 at Kranji no queue,138629,-1,CW 1 at Kranji no queue,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
28/3/2025 16:41,kranji 170 queue,138622,-1,kranji 170 queue,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
28/3/2025 16:29,Anyone at bugis Queen st,138616,-1,Anyone at bugis Queen st,High,Singapore to Malaysia,Low,Not related,Different
28/3/2025 16:27,Jam like shit dun come ady,138612,-1,Jam like shit dun come ady,High,Singapore to Malaysia,High,Not related,Same
28/3/2025 15:16,Sg  jb smooth,138595,-1,Sg  jb smooth,Low,Malaysia to Singapore,Low,Not related,Same
28/3/2025 14:05,Human traffic smooth,138576,-1,Human traffic smooth,Low,Not related,Low,Not related,Same
28/3/2025 13:03,Very smooth no jam for waiting bus,138561,-1,Very smooth no jam for waiting bus,Low,Not related,Low,Singapore to Malaysia,Same
28/3/2025 12:41,Sg  jb sg side and jb side super smooth,138558,-1,Sg  jb sg side and jb side super smooth,High,Malaysia to Singapore,Low,Singapore to Malaysia,Different
28/3/2025 12:03,Should be alright,138546,138543,any idea for sat night 10 will it be long q  Should be alright,Low,Not related,Not related,Not related,Different
28/3/2025 11:43,any idea for sat night 10 will it be long q ,138543,-1,any idea for sat night 10 will it be long q ,High,Not related,High,Not related,Same
28/3/2025 10:37,Human jam is smooth ,138535,-1,Human jam is smooth ,Low,Not related,Low,Not related,Same
28/3/2025 9:50,human no jam,138526,138518,Any jam now at woodlands  human no jam,Low,Not related,Low,Not related,Same
28/3/2025 8:32,Very smooth from Kranji to jb by bus,138515,-1,Very smooth from Kranji to jb by bus,Low,Singapore to Malaysia,Low,Malaysia to Singapore,Same
28/3/2025 8:29,Sg Kranji 170 to JB is ok,138514,-1,Sg Kranji 170 to JB is ok,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
28/3/2025 4:39,Sg to jb,138496,-1,Sg to jb,High,Not related,Low,Singapore to Malaysia,Different
27/3/2025 23:13,No human traffic for custom clearance from sg to jb For bus just a short queue,138485,-1,No human traffic for custom clearance from sg to jb For bus just a short queue,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
27/3/2025 22:30,Kranji long q Checkpoint long q,138480,-1,Kranji long q Checkpoint long q,High,Singapore to Malaysia,High,Not related,Same
27/3/2025 22:22,Wah sg jb is crazy,138479,-1,Wah sg jb is crazy,High,Singapore to Malaysia,High,Not related,Same
27/3/2025 21:46,jb to sg smooth,138471,-1,jb to sg smooth,Low,Not related,Low,Singapore to Malaysia,Same
27/3/2025 20:58,queue for 170x and cw at kranji is long,138461,-1,queue for 170x and cw at kranji is long,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
27/3/2025 20:35,Sg to Jb i guess need to walk back 170X no bus,138457,-1,Sg to Jb i guess need to walk back 170X no bus,High,Not related,High,Malaysia to Singapore,Same
27/3/2025 20:30,Ok that is for 170X or CW bus,138453,-1,Ok that is for 170X or CW bus,Low,Not related,Low,Singapore to Malaysia,Same
27/3/2025 20:29,Bus lane moving i think it is better now,138452,138451, Guess need to walk back from sg custom to Jb right Bus lane moving i think it is better now,Medium,Not related,Low,Singapore to Malaysia,Different
27/3/2025 20:24, Guess need to walk back from sg custom to Jb right,138451,-1, Guess need to walk back from sg custom to Jb right,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
27/3/2025 20:23,Ok even for now at sg custom queue also long,138450,-1,Ok even for now at sg custom queue also long,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
27/3/2025 19:56,Jam af,138448,-1,Jam af,High,Not related,High,Not related,Same
27/3/2025 19:31,Accident otw spore cw bus and car expect jam towards Singapore,138444,-1,Accident otw spore cw bus and car expect jam towards Singapore,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
27/3/2025 19:25,Avoid taking bus at kranji buses cannot come into the bus stop and even if you board you cant leave the bus stop,138439,-1,Avoid taking bus at kranji buses cannot come into the bus stop and even if you board you cant leave the bus stop,High,Not related,High,Malaysia to Singapore,Same
27/3/2025 19:15,Traffic gonna jam much longer,138430,-1,Traffic gonna jam much longer,High,Not related,High,Not related,Same
27/3/2025 19:13,Sbs also long queqe,138429,-1,Sbs also long queqe,High,Singapore to Malaysia,High,Not related,Same
27/3/2025 19:12,cw start queqe after scanning passport,138428,-1,cw start queqe after scanning passport,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
27/3/2025 19:12,Now jam,138426,-1,Now jam,High,Not related,High,Not related,Same
27/3/2025 14:16,Jam JBSG bridge jam,138389,-1,Jam JBSG bridge jam,High,Singapore to Malaysia,High,Not related,Same
27/3/2025 11:05,Looks like extra load of police at woodlands crossing  Gurkhas etc prolly some VIP crossing,138374,-1,Looks like extra load of police at woodlands crossing  Gurkhas etc prolly some VIP crossing,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
27/3/2025 11:05,Silly of the police to close off the woodlands road,138373,-1,Silly of the police to close off the woodlands road,High,Not related,High,Not related,Same
27/3/2025 10:47,Bus Kanji  woodland jam,138371,-1,Bus Kanji  woodland jam,High,Singapore to Malaysia,High,Not related,Same
27/3/2025 10:32,is there a jam sgjb,138370,-1,is there a jam sgjb,High,Singapore to Malaysia,Low,Not related,Different
27/3/2025 10:30,Bus hasnt moved in 30mins,138369,-1,Bus hasnt moved in 30mins,High,Not related,High,Not related,Same
27/3/2025 10:03,Traffic jamed before the bridge  due to many lorries going back to Malaysia,138367,-1,Traffic jamed before the bridge  due to many lorries going back to Malaysia,High,Malaysia to Singapore,High,Malaysia to Singapore,Same
27/3/2025 9:55,Dam long queue Govt wanna be sustainable to cluster ppl with less frequency,138366,-1,Dam long queue Govt wanna be sustainable to cluster ppl with less frequency,High,Not related,High,Not related,Same
27/3/2025 0:49,"I am not a Malaysian but I heard people go to UTC the nearest one at Kotaraya when it opens You might want to make a trip there to check out There is usually a queue before the office opens

Or you can wait for someone who knows to answer you ",138341,138340,"yes i tried renewing online but my photo has been rejected multiple times I am not a Malaysian but I heard people go to UTC the nearest one at Kotaraya when it opens You might want to make a trip there to check out There is usually a queue before the office opens

Or you can wait for someone who knows to answer you ",High,Not related,High,Malaysia to Singapore,Same
26/3/2025 22:41,Cw2 runs 247,138333,138331,From jb to sg custom  what time is the last bus Cw2 runs 247,Not related,Not related,Not related,Not related,Same
26/3/2025 20:56,Bus getting stuck on the bridge with all the cars and lorries,138328,-1,Bus getting stuck on the bridge with all the cars and lorries,High,Not related,High,Singapore to Malaysia,Same
26/3/2025 20:49,Smooth at jb side 160170 bus not coming,138327,-1,Smooth at jb side 160170 bus not coming,Low,Malaysia to Singapore,High,Malaysia to Singapore,Different
26/3/2025 19:24,I saw quite a lot ppl walking on the cause way from sg to jb,138317,-1,I saw quite a lot ppl walking on the cause way from sg to jb,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
26/3/2025 19:23,left to CIQ,138316,-1,left to CIQ,High,Not related,Low,Not related,Different
26/3/2025 13:26,jb  sg as of 1326 its as smooth as it can gets,138293,-1,jb  sg as of 1326 its as smooth as it can gets,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
26/3/2025 11:53,Human very smooth,138288,-1,Human very smooth,Low,Not related,Low,Not related,Same
26/3/2025 8:18,Unsure Today total 2 hours of waiting from ciq to kranji,138274,-1,Unsure Today total 2 hours of waiting from ciq to kranji,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
26/3/2025 7:54,Any queue at 170 bus queue Faster,138273,-1,Any queue at 170 bus queue Faster,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
26/3/2025 7:25,Queue jammed  road jammed Hahaha kaw2,138265,-1,Queue jammed  road jammed Hahaha kaw2,High,Singapore to Malaysia,High,Not related,Same
26/3/2025 7:22,630am until now 722 almost 1hour keep que at ciq CW bus ,138263,-1,630am until now 722 almost 1hour keep que at ciq CW bus ,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
26/3/2025 6:45,Less cw bus at ciq zzz Wait an hour already,138261,-1,Less cw bus at ciq zzz Wait an hour already,High,Not related,High,Malaysia to Singapore,Same
25/3/2025 20:44,fortunately today got a lot of people walking across the causeway which helps a lot to relief the queue in SG checkpoint,138240,-1,fortunately today got a lot of people walking across the causeway which helps a lot to relief the queue in SG checkpoint,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
25/3/2025 20:40,todays traffic is a bit nuts,138237,-1,todays traffic is a bit nuts,High,Not related,Low,Not related,Different
25/3/2025 19:11,Guys traffic apa macam ah First link via cw,138231,-1,Guys traffic apa macam ah First link via cw,High,Singapore to Malaysia,Low,Not related,Different
25/3/2025 18:04,Anyway bus jam towards jb bsi due to bus breakdown at clearance,138219,-1,Anyway bus jam towards jb bsi due to bus breakdown at clearance,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
25/3/2025 14:24,Shouldnt jam because Monday public holiday,138205,138203,This Sunday if I go in jb early morning and come out at night will jam Shouldnt jam because Monday public holiday,Low,Not related,Low,Not related,Same
25/3/2025 14:14,Usually so for both morning and night Sunday night is usually the worst when coming back Sometimes even blue bus need wait about 34 buses per lane,138204,138203,This Sunday if I go in jb early morning and come out at night will jam Usually so for both morning and night Sunday night is usually the worst when coming back Sometimes even blue bus need wait about 34 buses per lane,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
25/3/2025 14:04,Smooth traffic from JB to SG,138202,-1,Smooth traffic from JB to SG,Low,Singapore to Malaysia,Low,Malaysia to Singapore,Same
25/3/2025 13:11,Last year we went in smooth like butter,138200,138198,But some Singaporeans also want to go in for long weekend alsohence jam Last year we went in smooth like butter,Low,Not related,Not related,Not related,Different
25/3/2025 13:01,But some Singaporeans also want to go in for long weekend alsohence jam,138198,138095,Depends as most JB residents went back to hometown But some Singaporeans also want to go in for long weekend alsohence jam,High,Singapore to Malaysia,High,Not related,Same
25/3/2025 12:16,Took arnd 45 mins frm sg take bus to JB,138193,-1,Took arnd 45 mins frm sg take bus to JB,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
25/3/2025 10:21,ytd city sq area was ok slight drizzle only,138188,-1,ytd city sq area was ok slight drizzle only,Not related,Not related,Low,Not related,Different
24/3/2025 23:45,Will there be jam if go on 29 Mar,138161,-1,Will there be jam if go on 29 Mar,High,Not related,Low,Not related,Different
24/3/2025 14:00,Now no jam,138126,-1,Now no jam,Low,Not related,Low,Not related,Same
24/3/2025 11:20,the ultimate jam should be friday even after office hours,138103,-1,the ultimate jam should be friday even after office hours,High,Not related,Not related,Not related,Different
23/3/2025 21:49,"Sg custom is smooth too
 okay all the best ppl",138060,-1,"Sg custom is smooth too
 okay all the best ppl",High,Not related,Low,Not related,Different
23/3/2025 21:32,Bus traffic towards Sg Custom is fast and furious,138058,-1,Bus traffic towards Sg Custom is fast and furious,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
23/3/2025 21:22,"JB custom is fast Less than 2 min even tho alot of ppl

Bus is moving for CW",138055,-1,"JB custom is fast Less than 2 min even tho alot of ppl

Bus is moving for CW",High,Singapore to Malaysia,High,Singapore to Malaysia,Same
23/3/2025 21:15,Morning sure jam afternoon less likely,138052,138050,Will next sat be jam Morning sure jam afternoon less likely,High,Not related,High,Not related,Same
23/3/2025 21:03,cw2 bugis long q,138049,-1,cw2 bugis long q,High,Not related,High,Not related,Same
23/3/2025 20:42,A lot people but move fast fast bus interval,138046,-1,A lot people but move fast fast bus interval,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
23/3/2025 18:47,JB to SG clear JB custom within 15 mins no q for CW buses,138027,-1,JB to SG clear JB custom within 15 mins no q for CW buses,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
23/3/2025 18:14,i mean the crowd at checkpoints for bus,138022,-1,i mean the crowd at checkpoints for bus,High,Not related,Low,Singapore to Malaysia,Different
23/3/2025 17:42,custom smooth but lesser buses compared to human traffic,138017,-1,custom smooth but lesser buses compared to human traffic,Low,Not related,Low,Singapore to Malaysia,Same
23/3/2025 16:37,Jb checkpoint to sg bus queue long,138002,-1,Jb checkpoint to sg bus queue long,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
23/3/2025 15:31,Cleared 30mins,137995,137992,Jb to sg clearance smooth Cleared 30mins,High,Not related,Low,Not related,Different
23/3/2025 15:23,Jb to sg clearance smooth,137992,-1,Jb to sg clearance smooth,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
23/3/2025 14:17,Jb to SG 35 min clear everything took bus,137979,-1,Jb to SG 35 min clear everything took bus,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
23/3/2025 13:35,jb to sg autogate no queue bus queue for 170 is at about convenience store but buses are coming constantly for now,137970,-1,jb to sg autogate no queue bus queue for 170 is at about convenience store but buses are coming constantly for now,High,Not related,High,Singapore to Malaysia,Same
23/3/2025 13:08,hi any idea if theres crowd at tuas checkpoint,137967,-1,hi any idea if theres crowd at tuas checkpoint,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
23/3/2025 13:04,Yes,137964,137963,Quick qns SG can use the newly installed egate on the left Yes,Not related,Not related,Not related,Not related,Same
23/3/2025 13:00,1pm sg to jb,137962,-1,1pm sg to jb,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
23/3/2025 12:52,sg custom clear very fast,137960,-1,sg custom clear very fast,Low,Not related,Low,Not related,Same
23/3/2025 11:35,bus more than people run for what,137949,-1,bus more than people run for what,High,Not related,High,Not related,Same
23/3/2025 10:29,No car jam sg to jb V smooth,137939,-1,No car jam sg to jb V smooth,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
23/3/2025 10:20,Sgjb smooth,137935,-1,Sgjb smooth,Low,Malaysia to Singapore,Low,Not related,Same
23/3/2025 10:19,JB customs at CIQ installed more Egate,137934,-1,JB customs at CIQ installed more Egate,High,Not related,Low,Not related,Different
23/3/2025 10:14,First time run for the bus cos the driver waiting ,137932,-1,First time run for the bus cos the driver waiting ,High,Not related,Low,Not related,Different
23/3/2025 9:53,SgJb no jam,137929,-1,SgJb no jam,Low,Malaysia to Singapore,Low,Not related,Same
23/3/2025 3:39,Any chk frm jb to SG gg to wdln side,137911,-1,Any chk frm jb to SG gg to wdln side,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
22/3/2025 23:34,now 170x bus still hv,137901,-1,now 170x bus still hv,Low,Not related,Low,Singapore to Malaysia,Same
22/3/2025 22:32,thank You for ur help,137896,137895,its smooth quite empty thank You for ur help,Not related,Not related,Not related,Not related,Same
22/3/2025 21:06,No jam CW no queue,137887,-1,No jam CW no queue,Low,Not related,Low,Singapore to Malaysia,Same
22/3/2025 18:31,kranji not Q,137769,-1,kranji not Q,Low,Not related,Low,Not related,Same
22/3/2025 16:08,similar to this photo,137741,137716,Via woodlands All dont have Q similar to this photo,Not related,Not related,Not related,Not related,Same
22/3/2025 14:34,Q at woodlands bus 950 ok,137730,-1,Q at woodlands bus 950 ok,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 13:46,today not much queue,137717,-1,today not much queue,Low,Malaysia to Singapore,Low,Not related,Same
22/3/2025 13:44,Via woodlands All dont have Q,137716,-1,Via woodlands All dont have Q,Low,Malaysia to Singapore,High,Malaysia to Singapore,Different
22/3/2025 13:43,Human Q all not much people,137715,-1,Human Q all not much people,High,Singapore to Malaysia,Low,Not related,Different
22/3/2025 12:32,Slow but moving,137697,137696,Bus jam at bridge Slow but moving,Medium,Not related,Not related,Not related,Different
22/3/2025 12:30,Bus jam at bridge,137696,137692,Any jam from jb to sg now Thanks Bus jam at bridge,High,Singapore to Malaysia,High,Not related,Same
22/3/2025 12:21,Car yes bus no,137693,137692,Any jam from jb to sg now Thanks Car yes bus no,Low,Not related,Low,Not related,Same
22/3/2025 12:18,Any jam from jb to sg now Thanks,137692,-1,Any jam from jb to sg now Thanks,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
22/3/2025 11:39,Why I queue here ciq tuasleft sidebut bus end at Perling Mall I want go Sutera mall,137675,-1,Why I queue here ciq tuasleft sidebut bus end at Perling Mall I want go Sutera mall,High,Not related,High,Malaysia to Singapore,Same
22/3/2025 11:18,From kranji mrt to jb custom  all no queue,137670,-1,From kranji mrt to jb custom  all no queue,High,Not related,Low,Malaysia to Singapore,Different
22/3/2025 11:18,No queue,137669,-1,No queue,Low,Malaysia to Singapore,Low,Not related,Same
22/3/2025 11:17,Long q for bus at woodlands customs,137668,-1,Long q for bus at woodlands customs,High,Singapore to Malaysia,High,Not related,Same
22/3/2025 10:49,CW2 from Queen St to CIQ very smooth 10am1049am clear CIQ,137655,-1,CW2 from Queen St to CIQ very smooth 10am1049am clear CIQ,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 10:46,Smooth clearance from SG to JB,137652,-1,Smooth clearance from SG to JB,Low,Singapore to Malaysia,High,Singapore to Malaysia,Different
22/3/2025 10:15,From this point on could board the 3rd bus,137645,137637,Bus queue at Woodlands station From this point on could board the 3rd bus,High,Not related,Low,Singapore to Malaysia,Different
22/3/2025 10:14,Bus queue after clearing SG customs very short,137644,-1,Bus queue after clearing SG customs very short,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 9:36,Bus queue at Woodlands station,137637,-1,Bus queue at Woodlands station,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 9:34,Bus queue at Woodlands station quite long now,137636,-1,Bus queue at Woodlands station quite long now,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
22/3/2025 9:14,Not alot of ppl use it yet the passport queue q long but no queue for qr code,137626,-1,Not alot of ppl use it yet the passport queue q long but no queue for qr code,High,Not related,High,Malaysia to Singapore,Same
22/3/2025 9:13,Sg custom side not much queue if want faster clearance can use the QR code clearance,137625,-1,Sg custom side not much queue if want faster clearance can use the QR code clearance,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 8:22,Is sg to jb traffic smooth ,137596,-1,Is sg to jb traffic smooth ,Low,Malaysia to Singapore,Low,Not related,Same
22/3/2025 8:14,woodlands or kranji for bus better,137594,-1,woodlands or kranji for bus better,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 7:48,SG to JB very smooth,137585,-1,SG to JB very smooth,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
22/3/2025 7:38,"712am at Kranji short queue for 170X
724am reach ICA
731am boarded 160
738am cleared CIQ",137582,-1,"712am at Kranji short queue for 170X
724am reach ICA
731am boarded 160
738am cleared CIQ",High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
22/3/2025 7:24,"712am at Kranji short queue for 170X
724am reach ICA",137579,-1,"712am at Kranji short queue for 170X
724am reach ICA",Medium,Singapore to Malaysia,Low,Singapore to Malaysia,Different
22/3/2025 5:04,Is sg to jb traffic smooth ,137571,-1,Is sg to jb traffic smooth ,Low,Malaysia to Singapore,Low,Not related,Same
21/3/2025 23:22,yup,137557,137548,Is sg to jb smooth traffic at the moment yup,Low,Not related,Not related,Not related,Different
21/3/2025 22:13,Is sg to jb smooth traffic at the moment,137548,-1,Is sg to jb smooth traffic at the moment,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
21/3/2025 21:57,very smooth traffic bus no queue no wait at customs too ,137543,-1,very smooth traffic bus no queue no wait at customs too ,Low,Not related,Low,Not related,Same
21/3/2025 20:10,hm only got bus to jurong east boon lay and queenstown thats what i know,137518,137517,Anyone know tuas to jb can take bus in like Woodlands hm only got bus to jurong east boon lay and queenstown thats what i know,High,Not related,Low,Singapore to Malaysia,Different
21/3/2025 20:01,dunno why traffic for today and yesterday so smooth but Wednesday was so messed up,137515,-1,dunno why traffic for today and yesterday so smooth but Wednesday was so messed up,High,Not related,Low,Not related,Different
21/3/2025 19:03,Will it jam if going to midvalley southkey,137498,-1,Will it jam if going to midvalley southkey,High,Not related,Not related,Not related,Different
21/3/2025 17:47,CIQ to woodlands fast today also,137468,-1,CIQ to woodlands fast today also,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
21/3/2025 15:48,thanks,137435,137432,Recommended to go 910pm later 7pm might still be abit jam Unless you dont mind joining the crowd thanks,Not related,Not related,Not related,Not related,Same
21/3/2025 14:29,Driving in jam all the way,137409,-1,Driving in jam all the way,High,Not related,High,Not related,Same
21/3/2025 14:25,Queue is ok for jb,137406,-1,Queue is ok for jb,High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
21/3/2025 14:21,Very smooth SG  JB,137403,-1,Very smooth SG  JB,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
21/3/2025 12:34,Ohh i see Thanks,137375,137373,Unless you are Malaysian the QR facilities at Malaysian checkpoints are not for you  Ohh i see Thanks,Low,Not related,Not related,Not related,Different
21/3/2025 12:33,Unless you are Malaysian the QR facilities at Malaysian checkpoints are not for you ,137373,137371,Ohh what is this QR code thing they talking about Unless you are Malaysian the QR facilities at Malaysian checkpoints are not for you ,High,Not related,Low,Not related,Different
21/3/2025 12:31,sg to jb clear,137372,-1,sg to jb clear,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
21/3/2025 12:26,No Pls use your passport only if not cannot go in,137370,137366,Use ICA app can do QR scan when in JB custom No Pls use your passport only if not cannot go in,Not related,Not related,Not related,Not related,Same
21/3/2025 11:38," Travellers from Singapore are advised to postpone any nonessential trips to Johor as continuous heavy traffic is expected at the Woodlands and Tuas checkpoints this weekend

Heavy traffic which began at the start of the March school holidays has worsened due to the monsoon surge 

Source Straits times",137360,-1," Travellers from Singapore are advised to postpone any nonessential trips to Johor as continuous heavy traffic is expected at the Woodlands and Tuas checkpoints this weekend

Heavy traffic which began at the start of the March school holidays has worsened due to the monsoon surge 

Source Straits times",High,Singapore to Malaysia,High,Singapore to Malaysia,Same
21/3/2025 11:35,kranji bus queue,137357,-1,kranji bus queue,High,Singapore to Malaysia,High,Not related,Same
21/3/2025 10:49,Any status from sg to jb,137341,-1,Any status from sg to jb,High,Not related,Low,Singapore to Malaysia,Different
21/3/2025 10:17,No ppl at jb custom sg to jb,137334,-1,No ppl at jb custom sg to jb,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
21/3/2025 9:57,Sg to JB ,137327,-1,Sg to JB ,High,Malaysia to Singapore,Low,Singapore to Malaysia,Different
21/3/2025 9:55,Spore Custom okok sg side to jb,137325,-1,Spore Custom okok sg side to jb,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
21/3/2025 9:23,JB  SG Smooth Like Butter ,137322,-1,JB  SG Smooth Like Butter ,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
21/3/2025 1:10,Everywhere in jb jam sia,137289,-1,Everywhere in jb jam sia,High,Not related,High,Not related,Same
20/3/2025 22:02,Sg to JB now is smooth Any human jam,137247,-1,Sg to JB now is smooth Any human jam,High,Not related,Low,Singapore to Malaysia,Different
20/3/2025 21:31,it was quite bad journey took abt 3040mins,137240,-1,it was quite bad journey took abt 3040mins,High,Not related,High,Not related,Same
20/3/2025 20:15,smooth yo,137223,137220,Sg to mly kastam now is smooth smooth yo,Low,Not related,Not related,Not related,Different
